name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz
LCN1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LCN2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LCN3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LCN4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
LCN5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a	n/a
LCN6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a	n/a
LCN7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LCN8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LCN9	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LCN10	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Outside Brain	n/a	n/a
LAH3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LAH4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LAH5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a	n/a
LAH6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LAH7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LAH8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LAH9	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Outside Brain	n/a	n/a
LTH1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	yes
LTH2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	yes
LTH3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LTH4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LAH1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes	n/a
LAH2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes	n/a
LTH5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LTH6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Outside Brain	n/a	n/a
LNA1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNA2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNA3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a	n/a
LNA4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a	n/a
LNA5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNA6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNA7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNA8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNB1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNB2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNB3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
DC01	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
DC02	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
DC03	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
DC04	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
LNB4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a	n/a
LNB5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
$LAH1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
$LAH2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
LNB6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNB7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNB8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNC1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNC2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNC3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNC4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
