name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz
LNC5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNC6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNC7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNC8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LND1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LND2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LND3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LND4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LND5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LND6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LND7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LND8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Outside Brain	n/a	n/a
LNE1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNE2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNE3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNE4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNE5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LNE6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LIN1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes	n/a
LIN2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes	n/a
LIN3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LIN4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LIN5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LIN6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LIN7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LIN8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LIN9	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LIN10	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LIN11	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
LIN12	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RAH1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	yes
RAH2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	yes
RAH3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RAH4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a	n/a
RAH5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RAH6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RAH7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RAH8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
RAH9	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Outside Brain	n/a	n/a
RAH10	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Outside Brain	n/a	n/a
RPH1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RPH2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RPH3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RPH4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RPH5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RPH6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RPH7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RPH8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RPH9	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RPH10	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
RNA1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RNA2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RNA3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RNA4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RNA5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RNA6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RNA7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a	n/a
RNA8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
EKG1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
EKG2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a	n/a
