name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz	rz
EVENT	ECOG	n/a	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	n/a	n/a	n/a	n/a
C1	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C2	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C3	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C4	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C5	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C6	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C7	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C8	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C9	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C10	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C11	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C12	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C13	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C14	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C15	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C16	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C17	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C18	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C19	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C20	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C21	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C22	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C23	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C24	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C25	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C26	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C27	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C28	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C29	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C30	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C31	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C32	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C33	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
C34	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
C35	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C36	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C37	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C38	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C39	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C40	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C41	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C42	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C43	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C44	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C45	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C46	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C47	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C48	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a	n/a
C49	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C50	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C51	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C52	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
C53	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
C54	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
C55	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
C56	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
C57	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C58	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C59	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C60	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C61	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
C62	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
C63	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
C64	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
BTM1	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
BTM2	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
BTM3	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
BTM4	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	n/a	yes
BTM5	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
BTM6	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
BTP1	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
BTP2	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
BTP3	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
BTP4	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
BTP5	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
BTP6	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes	yes
C77	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C78	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C79	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C80	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C81	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C82	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C83	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C84	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C85	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C86	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C87	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C88	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C89	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C90	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C91	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C92	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C93	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
EKGL	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	n/a	n/a	n/a	n/a
