name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz
LA1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes
LA2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes
LA3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LA4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
-0	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	n/a	n/a
-1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	n/a	n/a
LA5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LA6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LA7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LA8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHA3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes
LHA4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHA5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHA6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHA7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHA8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHA9	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHP1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes
LHP2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes
LHP3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHP4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
LHA1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes
LHA2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes
LHP5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHP6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHP7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LHP8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LBT1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes
LBT2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes
LBT3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	yes
LBT4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
LBT5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LBT6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LBT7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LBT8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LFSA1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
DC01	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
DC02	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
DC03	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
DC04	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFSA2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LFSA3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
$LHA1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
$LHA2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFSA4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
