name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz
LFSB1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LFSB2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LFSB3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LFSB4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPT1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPT2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
LPT3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LPT4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPT5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPT6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPT7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPT8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LOC1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LOC2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LOC3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LOC4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LOC5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LOC6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LOC7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LOC8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LINS1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LINS2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LINS3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LINS4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPCN1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPCN2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPCN3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
LPCN4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
LPCN5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPCN6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPCN7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPCN8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPCN9	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPCN10	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
LPCN11	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Outside Brain	n/a
LPCN12	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Outside Brain	n/a
RA1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RA2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RA3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RA4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RA5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
RA6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
RA7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RA8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHA1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHA2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHA3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
RHA4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
RHA5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHA6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHA7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHA8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHA9	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Outside Brain	n/a
RHP1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHP2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHP3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
RHP4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHP5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHP6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHP7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RHP8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
RBT1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RBT2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RBT3	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RBT4	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RBT5	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	White Matter	n/a
RBT6	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
RBT7	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	good	n/a	n/a
RBT8	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
EKG1	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
EKG2	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
RCG48	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
RCG54	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG65	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG66	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG67	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG68	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG69	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG70	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG71	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG72	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG73	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG74	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG75	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG76	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG77	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG78	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG79	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG80	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG81	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG82	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG83	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG84	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG85	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG86	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG87	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG88	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG89	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG90	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG91	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG92	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG93	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG94	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG95	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG96	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG97	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG98	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG99	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG100	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG101	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG102	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG103	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG104	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG105	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG106	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG107	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG108	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG109	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG110	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG111	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG112	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG113	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG114	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG115	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG116	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG117	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG118	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG119	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG120	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG121	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG122	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG123	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG124	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG125	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG126	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG127	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
LFPG128	SEEG	µV	0.0	499.99999999999994	StereoEEG	999.9999999999999	bad	Excel-labeled	n/a
