name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	rz
EVENT	ECOG	n/a	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	n/a	n/a	n/a
RG1	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	yes
RG2	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	yes
RG3	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	yes
RG4	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	yes
RG5	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	yes
RG6	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	yes
RG7	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	yes
RG8	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	yes
RG9	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG10	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG11	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG12	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG13	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG14	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG15	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG16	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG17	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG18	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG19	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG20	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG21	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG22	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG23	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG24	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG25	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG26	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG27	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG28	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG29	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG30	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG31	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG32	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG33	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG34	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG35	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG36	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG37	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG38	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG39	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG40	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG41	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG42	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG43	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG44	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG45	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG46	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG47	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG48	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG49	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG50	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG51	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG52	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG53	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG54	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG55	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG56	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG57	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG58	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG59	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG60	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG61	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG62	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG63	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RG64	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	n/a	n/a
RD1	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes
RD2	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes
RD3	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes
RD4	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a	yes	yes
EGKL	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	n/a	n/a	n/a
EKGR	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	n/a	n/a	n/a
REF	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	n/a	n/a	n/a
C72	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a
C73	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a
C74	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a
C75	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a
C76	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a
C77	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a
C78	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a
